transaction_id,account_id,transaction_date,transaction_type,transaction_amount,channel,merchant_category,description,post_date,currency_code,account_type,customer_id,customer_segment,region_code,branch_id,pre_txn_balance,post_txn_balance,risk_rating,running_balance
T000000001,A00000004,2024-01-31,REF,1804.93,WIRE,4900,REF MOBILE REF714480,2024-01-31,USD,MTG,C0000003,RET,W,B032,360901.23,362706.16,5,362706.16
T000000002,A00000004,2024-01-31,CHG,12,WIRE,5912,CHG POS REF624164,2024-01-31,USD,MTG,C0000003,RET,W,B032,360901.23,360889.23,5,362694.16
T000000003,A00000004,2024-01-31,CHG,25,BRANCH,7011,CHG ACH REF252284,2024-01-31,USD,MTG,C0000003,RET,W,B032,360901.23,360876.23,5,362669.16
T000000004,A00000004,2024-01-31,FEE,25,MOBILE,5912,FEE ACH REF937507,2024-01-31,USD,MTG,C0000003,RET,W,B032,360901.23,360876.23,5,362644.16
T000000005,A00000004,2024-01-31,PMT,1181.39,POS,5912,PMT BRANCH REF912872,2024-01-31,USD,MTG,C0000003,RET,W,B032,360901.23,359719.83999999997,5,361462.76999999996
T000000006,A00000004,2024-01-31,CHG,9.95,ACH,5812,CHG ATM REF610525,2024-01-31,USD,MTG,C0000003,RET,W,B032,360901.23,360891.27999999997,5,361452.81999999995
T000000007,A00000005,2024-01-31,INT,93.14,BRANCH,5912,INT BRANCH REF805512,2024-01-31,USD,HELC,C0000003,RET,W,B035,55331.94,55425.08,5,55425.08
T000000008,A00000005,2024-01-31,FEE,35,ONLINE,7011,FEE ONLINE REF590257,2024-01-31,USD,HELC,C0000003,RET,W,B035,55331.94,55296.94,5,55390.08
T000000009,A00000005,2024-01-31,FEE,3,WIRE,5541,FEE ATM REF114956,2024-01-31,USD,HELC,C0000003,RET,W,B035,55331.94,55328.94,5,55387.08
T000000010,A00000005,2024-01-31,PMT,711.05,ACH,5812,PMT ACH REF458111,2024-01-31,USD,HELC,C0000003,RET,W,B035,55331.94,54620.89,5,54676.03
T000000011,A00000005,2024-01-31,PMT,626.8,BRANCH,5541,PMT BRANCH REF553524,2024-01-31,USD,HELC,C0000003,RET,W,B035,55331.94,54705.14,5,54049.229999999996
