account_id,score_date,intercept,woe_fico,woe_util,woe_dpd,woe_age,woe_ltv,log_odds,pd
A00000001,2024-01-31,-3.2145,1.102,0.334,0.445,-0.534,0,-2.6015170000000003,0.06904085259414924
A00000004,2024-01-31,-3.2145,-0.812,0,-0.678,-0.289,-0.234,-3.7957050000000003,0.021973383605277376
A00000005,2024-01-31,-3.2145,-0.812,-0.521,-0.678,-0.534,-0.234,-3.9152780000000007,0.019545368898437415
A00000008,2024-01-31,-3.2145,0.654,0.334,-0.678,-0.534,0,-3.11064,0.0426704927429612
A00000010,2024-01-31,-3.2145,0.654,0,-0.678,-0.289,-0.234,-3.191713,0.039478770984821776
A00000011,2024-01-31,-3.2145,-0.356,0.789,-0.678,-0.534,0,-3.4366700000000003,0.03116888461380469
A00000012,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,-0.712,-3.071189,0.04431144859350694
A00000014,2024-01-31,-3.2145,1.102,-0.102,-0.678,-0.289,0,-2.995977,0.04760795014266556
A00000019,2024-01-31,-3.2145,1.102,0,-0.678,0.045,-0.234,-2.9847590000000004,0.04811917943428505
A00000021,2024-01-31,-3.2145,-0.356,0,0.445,-0.289,0,-3.25193,0.03725759740842388
A00000023,2024-01-31,-3.2145,0.198,0,-0.678,-0.534,0.356,-3.31694,0.03499459774775828
A00000024,2024-01-31,-3.2145,0.654,-0.102,-0.678,-0.289,0,-3.1805529999999997,0.03990414213518459
A00000026,2024-01-31,-3.2145,0.654,0,-0.678,-0.534,0.356,-3.129068,0.041924026166710704
A00000028,2024-01-31,-3.2145,-0.356,0,-0.678,0.045,-0.712,-3.6495070000000003,0.025344878717809077
A00000033,2024-01-31,-3.2145,-0.812,0,-0.678,-0.289,0.356,-3.716645,0.023738205173526088
A00000035,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,0.889,-2.856655,0.05433832955170419
A00000036,2024-01-31,-3.2145,1.102,0,-0.678,0.045,-0.712,-3.048811,0.04526883377251663
