transaction_id,account_id,transaction_date,transaction_type,transaction_amount,channel,merchant_category,description,post_date,currency_code,reject_reason
,A00000282,2024-01-31,WDR,555.56,WIRE,0000,WDR BRANCH REF823588,2024-01-31,USD,Missing TRANSACTION_ID
,A00000268,2024-01-31,WDR,142.48,MOBILE,0000,WDR MOBILE REF700134,2024-01-31,USD,Missing TRANSACTION_ID
T000000613,,2024-01-31,WDR,90.97,ATM,5411,WDR WIRE REF959947,2024-01-31,USD,Missing ACCOUNT_ID
T000000614,,2024-01-31,INT,92.63,BRANCH,0000,INT WIRE REF925766,2024-01-31,USD,Missing ACCOUNT_ID
T000000615,A00000306,2024-01-31,REF,,POS,7011,REF ACH REF306414,2024-01-31,USD,Missing TRANSACTION_AMOUNT
T000000616,A00000235,2024-01-31,FEE,,ONLINE,6011,FEE BRANCH REF747175,2024-01-31,USD,Missing TRANSACTION_AMOUNT
T000000617,A00000165,2024-01-31,INT,36966322.19,ACH,5411,INT ACH REF796402,2024-01-31,USD,"Amount exceeds threshold: $36,966,322.19"
T000000618,A00000094,2024-01-31,ADJ,28297112.25,BRANCH,0000,ADJ ACH REF812458,2024-01-31,USD,"Amount exceeds threshold: $28,297,112.25"
T000000619,A00000053,2024-01-31,XFR,25,ATM,6011,CHG ACH REF620041,2024-01-31,USD,Invalid transaction type: XFR
T000000620,A00000169,2024-01-31,MISC,331.3,BRANCH,5812,PMT ACH REF845193,2024-01-31,USD,Invalid transaction type: MISC
T000000621,A00000356,2024-02-01,WDR,220.89,WIRE,4900,WDR ATM REF732269,2024-01-31,USD,Future dated: 01FEB2024
T000000622,A00000190,2024-02-01,INT,0.7,ACH,0000,INT BRANCH REF796840,2024-01-31,USD,Future dated: 01FEB2024
