transaction_id,account_id,transaction_date,transaction_type,transaction_amount,channel,merchant_category,description,post_date,currency_code
H000000001,A00000004,2023-11-02,PMT,1449.57,MOBILE,5411,PMT ACH REF697904,2023-11-02,USD
H000000002,A00000005,2023-11-02,PMT,209.68,POS,5541,PMT ATM REF496557,2023-11-02,USD
H000000003,A00000015,2023-11-02,DEP,136.78,WIRE,5411,DEP ATM REF245309,2023-11-03,USD
H000000004,A00000015,2023-11-02,DEP,215.13,BRANCH,5541,DEP ACH REF229825,2023-11-02,USD
H000000005,A00000017,2023-11-02,FEE,35,WIRE,5912,FEE ONLINE REF561521,2023-11-02,USD
H000000006,A00000017,2023-11-02,WDR,127.47,ONLINE,5411,WDR ATM REF381475,2023-11-02,USD
H000000007,A00000020,2023-11-02,INT,4.13,POS,5411,INT MOBILE REF386767,2023-11-02,USD
H000000008,A00000020,2023-11-02,WDR,637.58,WIRE,5812,WDR MOBILE REF819932,2023-11-02,USD
H000000009,A00000022,2023-11-02,INT,102.97,POS,5541,INT MOBILE REF656317,2023-11-02,USD
H000000010,A00000022,2023-11-02,FEE,25,ONLINE,5912,FEE POS REF623117,2023-11-03,USD
H000000011,A00000028,2023-11-02,INT,238.6,BRANCH,5912,INT BRANCH REF911496,2023-11-02,USD
H000000012,A00000031,2023-11-02,REV,3.56,ATM,5541,REV POS REF759130,2023-11-02,USD
H000000013,A00000032,2023-11-02,WDR,229.18,ATM,0000,WDR ATM REF892213,2023-11-02,USD
H000000014,A00000032,2023-11-02,WDR,312.58,ACH,5541,WDR ONLINE REF109267,2023-11-02,USD
H000000015,A00000033,2023-11-02,INT,183.98,MOBILE,5812,INT WIRE REF918555,2023-11-02,USD
H000000016,A00000033,2023-11-02,INT,239.77,BRANCH,5812,INT POS REF266021,2023-11-02,USD
H000000017,A00000033,2023-11-02,FEE,9.95,MOBILE,5912,FEE MOBILE REF658191,2023-11-02,USD
H000000018,A00000034,2023-11-02,TRF,-2304.19,MOBILE,7011,TRF BRANCH REF427476,2023-11-02,USD
H000000019,A00000037,2023-11-02,TRF,32.14,WIRE,5541,TRF POS REF194615,2023-11-02,USD
H000000020,A00000039,2023-11-02,WDR,183.13,WIRE,6011,WDR POS REF180620,2023-11-02,USD
H000000021,A00000039,2023-11-02,WDR,198.06,WIRE,5411,WDR ATM REF203777,2023-11-02,USD
H000000022,A00000047,2023-11-02,CHG,9.95,WIRE,5411,CHG ONLINE REF157763,2023-11-02,USD
H000000023,A00000047,2023-11-02,INT,150.61,WIRE,7011,INT ATM REF143478,2023-11-02,USD
H000000024,A00000047,2023-11-02,PMT,556.52,POS,5912,PMT ACH REF440061,2023-11-02,USD
H000000025,A00000052,2023-11-02,CHG,3,ATM,6011,CHG POS REF465083,2023-11-02,USD
H000000026,A00000054,2023-11-02,CHG,3,ACH,5812,CHG BRANCH REF730470,2023-11-02,USD
H000000027,A00000054,2023-11-02,FEE,9.95,MOBILE,4900,FEE ATM REF913287,2023-11-03,USD
H000000028,A00000055,2023-11-02,CHG,35,ATM,5541,CHG POS REF409024,2023-11-02,USD
H000000029,A00000060,2023-11-02,INT,64.2,WIRE,5812,INT ACH REF576813,2023-11-02,USD
H000000030,A00000060,2023-11-02,WDR,564.21,BRANCH,5541,WDR POS REF440802,2023-11-02,USD
H000000031,A00000062,2023-11-02,WDR,106.61,MOBILE,4900,WDR BRANCH REF311164,2023-11-02,USD
H000000032,A00000065,2023-11-02,WDR,90.58,BRANCH,5912,WDR ONLINE REF868059,2023-11-03,USD
H000000033,A00000065,2023-11-02,WDR,52.83,ATM,4900,WDR MOBILE REF860455,2023-11-02,USD
H000000034,A00000065,2023-11-02,WDR,97.79,WIRE,5912,WDR WIRE REF347489,2023-11-02,USD
H000000035,A00000071,2023-11-02,PMT,742.51,ONLINE,6011,PMT ATM REF858818,2023-11-02,USD
H000000036,A00000076,2023-11-02,CHG,35,ACH,5912,CHG ONLINE REF985697,2023-11-03,USD
H000000037,A00000076,2023-11-02,PMT,2019.32,ATM,5812,PMT ATM REF414269,2023-11-02,USD
H000000038,A00000077,2023-11-02,TRF,5.26,WIRE,7011,TRF ACH REF793047,2023-11-02,USD
H000000039,A00000077,2023-11-02,ADJ,-262.14,POS,4900,ADJ POS REF726196,2023-11-02,USD
H000000040,A00000077,2023-11-02,WDR,665.37,POS,7011,WDR POS REF640035,2023-11-03,USD
H000000041,A00000082,2023-11-02,REV,20.27,ONLINE,7011,REV ACH REF446492,2023-11-02,USD
H000000042,A00000084,2023-11-02,CHG,25,ONLINE,5912,CHG BRANCH REF647360,2023-11-02,USD
H000000043,A00000084,2023-11-02,INT,219.46,BRANCH,5912,INT POS REF990172,2023-11-02,USD
H000000044,A00000089,2023-11-02,INT,167.53,BRANCH,4900,INT WIRE REF430605,2023-11-02,USD
H000000045,A00000089,2023-11-02,CHG,3,ONLINE,5912,CHG MOBILE REF984017,2023-11-02,USD
H000000046,A00000093,2023-11-02,WDR,21.93,WIRE,7011,WDR ATM REF995633,2023-11-02,USD
H000000047,A00000093,2023-11-02,DEP,90.16,ONLINE,4900,DEP ACH REF977456,2023-11-02,USD
H000000048,A00000097,2023-11-02,INT,26.88,ATM,5541,INT BRANCH REF674918,2023-11-02,USD
H000000049,A00000098,2023-11-02,WDR,29.21,ONLINE,4900,WDR ONLINE REF703667,2023-11-02,USD
H000000050,A00000099,2023-11-02,CHG,12,MOBILE,0000,CHG ATM REF692781,2023-11-02,USD
H000000051,A00000105,2023-11-02,CHG,9.95,BRANCH,5541,CHG ATM REF909937,2023-11-02,USD
H000000052,A00000107,2023-11-02,FEE,25,ONLINE,7011,FEE WIRE REF359762,2023-11-02,USD
H000000053,A00000109,2023-11-02,PMT,703.69,ACH,5411,PMT BRANCH REF111155,2023-11-02,USD
H000000054,A00000109,2023-11-02,PMT,1139.24,ACH,7011,PMT POS REF465670,2023-11-02,USD
H000000055,A00000117,2023-11-02,REV,73.16,ATM,4900,REV ATM REF741586,2023-11-02,USD
H000000056,A00000119,2023-11-02,DEP,67.66,ACH,5411,DEP MOBILE REF110063,2023-11-02,USD
H000000057,A00000119,2023-11-02,WDR,127.42,ATM,7011,WDR WIRE REF154235,2023-11-02,USD
H000000058,A00000119,2023-11-02,WDR,205.25,ONLINE,5812,WDR ONLINE REF678865,2023-11-02,USD
H000000059,A00000121,2023-11-02,CHG,25,MOBILE,5912,CHG WIRE REF310358,2023-11-02,USD
H000000060,A00000124,2023-11-02,PMT,3008.79,MOBILE,5912,PMT MOBILE REF197640,2023-11-02,USD
H000000061,A00000128,2023-11-02,WDR,18.43,ONLINE,0000,WDR ONLINE REF777660,2023-11-02,USD
H000000062,A00000132,2023-11-02,DEP,80.21,ONLINE,0000,DEP BRANCH REF935399,2023-11-02,USD
H000000063,A00000141,2023-11-02,TRF,180.5,POS,0000,TRF ACH REF637965,2023-11-02,USD
H000000064,A00000141,2023-11-02,REV,68.05,BRANCH,5411,REV ONLINE REF864947,2023-11-02,USD
H000000065,A00000143,2023-11-02,WDR,70.33,ACH,7011,WDR ACH REF948840,2023-11-02,USD
H000000066,A00000143,2023-11-02,WDR,13.79,POS,7011,WDR ATM REF101019,2023-11-02,USD
H000000067,A00000145,2023-11-02,PMT,278.23,MOBILE,5411,PMT MOBILE REF594008,2023-11-02,USD
H000000068,A00000145,2023-11-02,FEE,3,ATM,5541,FEE BRANCH REF560394,2023-11-02,USD
H000000069,A00000148,2023-11-02,TRF,-32.35,ATM,5541,TRF WIRE REF699685,2023-11-03,USD
H000000070,A00000153,2023-11-02,TRF,13.26,MOBILE,5812,TRF BRANCH REF477104,2023-11-02,USD
H000000071,A00000157,2023-11-02,CHG,12,WIRE,5411,CHG ACH REF368835,2023-11-03,USD
H000000072,A00000159,2023-11-02,INT,101.69,ONLINE,5912,INT ACH REF637018,2023-11-03,USD
H000000073,A00000160,2023-11-02,REV,299.75,WIRE,5912,REV ACH REF597073,2023-11-02,USD
H000000074,A00000160,2023-11-02,REV,154.48,WIRE,6011,REV BRANCH REF172502,2023-11-03,USD
H000000075,A00000160,2023-11-02,DEP,609.32,ATM,5812,DEP WIRE REF240782,2023-11-03,USD
H000000076,A00000163,2023-11-02,FEE,25,BRANCH,0000,FEE BRANCH REF814070,2023-11-02,USD
H000000077,A00000165,2023-11-02,WDR,74.77,ONLINE,5812,WDR WIRE REF241391,2023-11-02,USD
H000000078,A00000170,2023-11-02,FEE,3,WIRE,7011,FEE ACH REF122890,2023-11-02,USD
H000000079,A00000170,2023-11-02,TRF,-94.85,BRANCH,7011,TRF ATM REF218740,2023-11-02,USD
H000000080,A00000173,2023-11-02,PMT,277.63,MOBILE,6011,PMT ATM REF697168,2023-11-02,USD
H000000081,A00000177,2023-11-02,PMT,2251.54,MOBILE,4900,PMT POS REF444222,2023-11-02,USD
H000000082,A00000177,2023-11-02,CHG,9.95,ACH,5411,CHG MOBILE REF214454,2023-11-02,USD
H000000083,A00000178,2023-11-02,INT,89.22,POS,5411,INT MOBILE REF171951,2023-11-02,USD
H000000084,A00000179,2023-11-02,PMT,2318.23,WIRE,4900,PMT ATM REF107464,2023-11-02,USD
H000000085,A00000182,2023-11-02,DEP,38.6,POS,5541,DEP WIRE REF731154,2023-11-03,USD
H000000086,A00000187,2023-11-02,PMT,2781.68,POS,5912,PMT POS REF457095,2023-11-02,USD
H000000087,A00000187,2023-11-02,CHG,9.95,ONLINE,7011,CHG ACH REF568032,2023-11-02,USD
H000000088,A00000198,2023-11-02,DEP,138.34,POS,5812,DEP ACH REF798087,2023-11-02,USD
H000000089,A00000199,2023-11-02,INT,55.22,WIRE,7011,INT ONLINE REF260737,2023-11-02,USD
H000000090,A00000200,2023-11-02,INT,16.08,WIRE,5411,INT ATM REF100415,2023-11-02,USD
H000000091,A00000202,2023-11-02,FEE,12,BRANCH,4900,FEE ACH REF472926,2023-11-02,USD
H000000092,A00000208,2023-11-02,DEP,5.68,BRANCH,5541,DEP POS REF230311,2023-11-03,USD
H000000093,A00000208,2023-11-02,INT,85.11,MOBILE,4900,INT ACH REF400558,2023-11-02,USD
H000000094,A00000209,2023-11-02,WDR,21.3,POS,4900,WDR BRANCH REF956226,2023-11-02,USD
H000000095,A00000211,2023-11-02,WDR,89.97,BRANCH,5912,WDR ONLINE REF673070,2023-11-02,USD
H000000096,A00000212,2023-11-02,INT,231.5,ATM,4900,INT POS REF218303,2023-11-02,USD
H000000097,A00000213,2023-11-02,PMT,170.43,POS,5812,PMT ATM REF184897,2023-11-02,USD
H000000098,A00000213,2023-11-02,CHG,9.95,ATM,7011,CHG BRANCH REF741133,2023-11-02,USD
H000000099,A00000213,2023-11-02,PMT,112.08,WIRE,5812,PMT WIRE REF176950,2023-11-02,USD
H000000100,A00000214,2023-11-02,INT,108.13,ACH,5541,INT POS REF950371,2023-11-02,USD
H000000101,A00000214,2023-11-02,PMT,181.08,POS,5812,PMT BRANCH REF828231,2023-11-02,USD
H000000102,A00000217,2023-11-02,PMT,1769.05,ATM,5812,PMT ONLINE REF814604,2023-11-02,USD
H000000103,A00000217,2023-11-02,PMT,363.22,ATM,5912,PMT ACH REF796669,2023-11-02,USD
H000000104,A00000217,2023-11-02,FEE,9.95,POS,5812,FEE ACH REF990862,2023-11-02,USD
H000000105,A00000224,2023-11-02,CHG,35,ATM,5812,CHG POS REF546534,2023-11-02,USD
H000000106,A00000227,2023-11-02,TRF,50.43,WIRE,7011,TRF ACH REF282702,2023-11-02,USD
