account_id,customer_id,account_type,current_balance,credit_limit,acct_age_months,days_inactive,utilization_pct,customer_segment,region_code,fico_score,vantage_score,bureau_inqs_6mo,bureau_trades_open,bureau_derogs,bureau_util_pct,bureau_oldest_trade_mo,pmt_ontime_12mo,pmt_late_30_12mo,pmt_late_60_12mo,pmt_late_90_12mo,max_days_past_due_ever,months_since_last_dpd,avg_pmt_ratio_12mo,collateral_value,last_appraisal_date,ltv,pd,lgd,ead,expected_loss,new_risk_rating,score_date,model_id,score_timestamp
A00000001,C0000001,CC,880.19,1500,146,89,58.67933333333334,SMB,MW,518,500,2,13,0,46.32,168,7,5,3,1,91,13,0.6016,,,,0.06904085259414924,0.75,1190.095,61.623880101025534,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000004,C0000003,MTG,360901.23,0,88,2,,RET,W,741,733,0,16,0,65.32,6,12,0,0,0,0,,0.9636,592503.16,2023-12-26,0.6091127513986592,0.021973383605277376,0.08729020111892734,360901.23,692.2306008823534,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000005,C0000003,HELC,55331.94,250000,155,74,22.132776,RET,W,741,733,0,16,0,65.32,6,10,2,0,0,91,34,0.7072,87289.34,2021-11-03,0.6338911486786359,0.019545368898437415,0.10711291894290875,152665.97,319.6155993700216,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000008,C0000005,CC,807.31,1500,152,232,53.82066666666666,SMB,NE,609,614,1,14,0,47.81,325,9,3,0,0,128,13,0.9542,,,,0.0426704927429612,0.75,1153.655,36.92027047903567,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000010,C0000005,MTG,518416.04,0,79,308,,SMB,NE,609,614,1,14,0,47.81,325,7,5,0,0,185,24,0.2362,777378.69,2023-10-23,0.6668770917813557,0.039478770984821776,0.13350167342508454,518416.04,2732.302402789634,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000011,C0000006,CC,2422.58,3000,139,252,80.75266666666666,PREM,NW,684,678,0,6,0,66.07,164,12,0,0,0,0,,0.8844,,,,0.03116888461380469,0.75,2711.29,63.38091387342189,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000012,C0000007,AUTO,7930.09,0,99,13,,RET,SE,560,552,0,22,0,21.23,64,11,1,0,0,185,7,0.7521,19994.88,2020-04-06,0.39660603114397286,0.04431144859350694,0,7930.09,0,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000014,C0000009,CC,1709.08,5000,62,60,34.1816,PREM,MW,555,574,5,1,0,64.28,228,12,0,0,0,0,,0.3932,,,,0.04760795014266556,0.75,3354.54,119.77707980368301,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000019,C0000012,AUTO,20812.27,0,36,318,,RET,W,556,539,1,13,0,7.27,234,11,1,0,0,128,33,0.924,27569.41,2021-12-08,0.754904439376831,0.04811917943428505,0.20392355150146485,20812.27,204.22318750273124,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000021,C0000013,PERS,2068.19,0,104,6,,PREM,SE,702,707,1,24,1,88.91,356,11,1,1,1,31,6,0.7768,,,,0.03725759740842388,0.5,2068.19,38.52789519206409,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000023,C0000014,MTG,127409.93,0,183,13,,CORP,NE,646,638,1,18,1,87.93,283,12,0,0,0,0,,0.7746,128497.79,2023-01-03,0.9915340178224077,0.03499459774775828,0.39322721425792617,127409.93,1753.2661559747785,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000024,C0000015,CC,2651.4,7500,98,2,35.352,RET,MW,630,653,0,20,0,14.45,266,12,0,0,0,0,,0.6123,,,,0.03990414213518459,0.75,5075.700000000001,151.90609067666733,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000026,C0000015,MTG,787669.93,0,126,12,,RET,MW,630,653,0,20,0,14.45,266,12,0,0,0,0,,0.5569,878657.25,2023-01-19,0.8964473120776049,0.041924026166710704,0.31715784966208393,787669.93,10473.279995736706,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000028,C0000016,AUTO,54313.79,0,44,4,,RET,W,718,729,0,18,0,63.52,26,12,0,0,0,0,,0.3649,121118.94,2023-04-02,0.4484334985098119,0.025344878717809077,0,54313.79,0,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000033,C0000018,AUTO,40503.4,0,105,117,,RET,MW,743,766,0,13,0,50.94,15,12,0,0,0,0,,0.4774,43745.92,2022-01-31,0.9258783447690665,0.023738205173526088,0.3407026758152532,40503.4,327.5781339557826,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000035,C0000019,AUTO,33340.88,0,96,9,,PB,NW,568,584,0,6,0,43.46,318,12,0,0,0,0,,0.5849,27768.09,2021-02-23,1.2006904327953416,0.05433832955170419,0.5605523462362733,33340.88,1015.5458048871382,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000036,C0000019,MTG,309131.92,0,33,0,,PB,NW,568,584,0,6,0,43.46,318,10,2,0,0,45,9,0.8806,790389.44,2022-07-27,0.39111342378258496,0.04526883377251663,0,309131.92,0,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000041,C0000024,AUTO,47334.35,0,109,3,,RET,W,714,705,1,7,0,77.54,386,12,0,0,0,0,,0.2749,68498.41,2020-04-01,0.6910284486895388,0.026394950632673827,0.15282275895163108,47334.35,190.93489540732395,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000042,C0000024,CC,5639.76,10000,159,112,56.397600000000004,RET,W,714,705,1,7,0,77.54,386,11,1,1,0,45,35,0.1083,,,,0.02856034317918137,0.75,7819.88,167.5038423150126,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000045,C0000025,LOC,58527.67,100000,156,1,58.52767,RET,MW,715,694,0,12,0,2.29,38,12,0,0,0,0,,0.1569,,,,0.02856034317918137,0.5,79263.83499999999,1131.9011646490037,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000047,C0000026,MTG,132118.72,0,61,9,,RET,NW,780,790,3,19,0,71.32,7,9,3,1,1,128,12,0.9354,196591.45,2023-02-01,0.6720471312460434,0.02576433648064646,0.13763770499683475,132118.72,468.5120252358087,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000049,C0000027,MTG,542753.55,0,56,13,,PREM,SE,729,704,0,2,2,24.45,397,12,0,0,0,0,,0.3962,1503492.22,2023-05-30,0.3609952501117698,0.0210954038032358,0,542753.55,0,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000050,C0000027,CC,5052.66,10000,202,12,50.5266,PREM,SE,729,704,0,2,2,24.45,397,12,0,0,0,0,,0.436,,,,0.02378490060207898,0.75,7526.33,134.25975821133383,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000052,C0000028,AUTO,32871.53,0,52,9,,PREM,NW,743,741,2,5,1,97.07,284,12,0,0,0,0,,0.2906,54726.41,2020-07-30,0.600652043501483,0.022459478834499152,0.08052163480118645,32871.53,59.4473057850227,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000053,C0000028,MTG,492287.19,0,150,13,,PREM,NW,743,741,2,5,1,97.07,284,12,0,0,0,0,,0.7704,512718.48,2021-09-11,0.960151055994705,0.023360751771988625,0.368120844795764,492287.19,4233.462914552892,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000054,C0000028,CC,3865.5,7500,69,8,51.54,PREM,NW,743,741,2,5,1,97.07,284,11,1,0,0,185,33,0.8534,,,,0.024169037627935066,0.75,5682.75,103.009948935111,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000055,C0000029,CC,5691.97,10000,84,793,56.919700000000006,PB,NW,539,548,8,19,0,23.06,57,12,0,0,0,0,,0.2983,,,,0.05167863455104849,0.75,7845.985000000001,304.1023436310062,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000056,C0000030,HELC,30522.95,75000,45,207,40.697266666666664,RET,NE,823,807,3,15,0,50.91,323,11,1,1,1,31,33,0.6713,34121.31,2022-01-04,0.8945421497591974,0.027884056687285462,0.315633719807358,52761.475000000006,464.36157842850224,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000057,C0000030,CC,6377.04,15000,79,7,42.513600000000004,RET,NE,823,807,3,15,0,50.91,323,12,0,0,0,0,,0.3274,,,,0.018964329506603997,0.75,10688.52,152.0254614134452,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000058,C0000031,CC,4454.81,10000,173,9,44.548100000000005,COMM,W,599,613,2,3,0,61.86,285,12,0,0,0,0,,0.3972,,,,0.04686917327342503,0.75,7227.405000000001,254.05687294666384,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000059,C0000031,HELC,40979.73,100000,33,43,40.97973,COMM,W,599,613,2,3,0,61.86,285,12,0,0,0,0,,0.7852,78912.5,2023-01-25,0.5193059401235546,0.04440394373994475,0.015444752098843662,70489.865,48.34250651774887,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000061,C0000033,CC,1926.06,7500,77,2,25.680799999999998,PREM,SW,568,567,1,17,0,29.65,348,12,0,0,0,0,,0.0695,,,,0.04398440863333547,0.75,4713.030000000001,155.47487806587682,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000063,C0000034,MTG,502286.75,0,47,10,,RET,SE,541,556,1,11,0,96.67,395,12,0,0,0,0,,0.0785,684051.43,2021-11-03,0.7342821430838906,0.04811917943428505,0.1874257144671125,502286.75,4530.009468443126,4,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
A00000066,C0000036,MTG,798090.77,0,163,802,,RET,SE,745,743,1,15,0,9.27,326,12,0,0,0,0,,0.2633,1287968.34,2023-08-28,0.6196509224753148,0.021623370505559285,0.09572073798025188,798090.77,1651.892252163466,3,2024-01-31,CRM-2023-Q4-V2,2024-01-31T00:00:00
