account_type,new_risk_rating,n_accounts,avg_pd,avg_lgd,total_ead,total_el
AUTO,3,13,0.023058474176054423,0.1804971893325247,417924.83,1683.7150516489776
AUTO,4,21,0.04571785583213394,0.1731841953855986,750950.99,6495.368335656129
CC,3,36,0.023221564173473527,0.75,266869.67,4782.64428177302
CC,4,55,0.04450198011359517,0.75,342917.80999999994,11979.565374542883
HELC,3,6,0.02181471172506924,0.2526129368277456,626441.5650000001,2902.6865556243565
HELC,4,8,0.03896362300356236,0.17021031860945007,939875.3300000002,5764.326491462468
LOC,3,6,0.020997750033086775,0.5,196808.10499999998,2247.1176205822458
LOC,4,10,0.043369209700548604,0.5,418245.32999999996,9603.470676242549
MTG,3,30,0.022634934657124534,0.1607300113729949,14208884.920000002,61640.05040371587
MTG,4,30,0.043350395504962634,0.21408485404484534,12254253.37,118689.45943047735
PERS,3,8,0.021399864217784906,0.5,272306.94,2957.559890678163
PERS,4,13,0.04316778350137128,0.5,292375.95,6348.07673985545
