account_id,transaction_date,transaction_id,running_balance
A00000004,2024-01-31,T000000001,362706.16
A00000004,2024-01-31,T000000002,362694.16
A00000004,2024-01-31,T000000003,362669.16
A00000004,2024-01-31,T000000004,362644.16
A00000004,2024-01-31,T000000005,361462.76999999996
A00000004,2024-01-31,T000000006,361452.81999999995
A00000005,2024-01-31,T000000007,55425.08
A00000005,2024-01-31,T000000008,55390.08
A00000005,2024-01-31,T000000009,55387.08
A00000005,2024-01-31,T000000010,54676.03
A00000005,2024-01-31,T000000011,54049.229999999996
A00000005,2024-01-31,T000000012,53360.24
A00000008,2024-01-31,T000000013,953.2099999999999
A00000008,2024-01-31,T000000014,-675.7900000000001
A00000008,2024-01-31,T000000015,-3376.24
A00000009,2024-01-31,T000000016,13303.189999999999
A00000010,2024-01-31,T000000017,516511.05
A00000010,2024-01-31,T000000018,515384.23
A00000010,2024-01-31,T000000019,515381.23
A00000011,2024-01-31,T000000020,2412.63
A00000013,2024-01-31,T000000021,3739.86
A00000013,2024-01-31,T000000022,3492.69
A00000015,2024-01-31,T000000023,21754.039999999997
A00000016,2024-01-31,T000000024,15179.96
A00000018,2024-01-31,T000000025,2325.46
A00000020,2024-01-31,T000000026,447.08000000000004
A00000021,2024-01-31,T000000027,2056.19
A00000021,2024-01-31,T000000028,2044.19
A00000021,2024-01-31,T000000029,-1010.3400000000001
A00000022,2024-01-31,T000000030,18191.64
A00000023,2024-01-31,T000000031,127397.93
A00000023,2024-01-31,T000000032,125696.62999999999
A00000023,2024-01-31,T000000033,125686.68
A00000025,2024-01-31,T000000034,11007.98
A00000025,2024-01-31,T000000035,12745.439999999999
A00000026,2024-01-31,T000000036,787718.6000000001
A00000027,2024-01-31,T000000037,413.26
A00000027,2024-01-31,T000000038,284.28
A00000027,2024-01-31,T000000039,-242.35000000000002
A00000031,2024-01-31,T000000040,98508.16
A00000031,2024-01-31,T000000041,98555.45
A00000032,2024-01-31,T000000042,1382.78
A00000032,2024-01-31,T000000043,1419.74
A00000033,2024-01-31,T000000044,40493.450000000004
