transaction_id,account_id,transaction_date,transaction_type,transaction_amount,channel,merchant_category,description,post_date,currency_code,account_type,customer_id,customer_segment,region_code,branch_id,pre_txn_balance,post_txn_balance,risk_rating,running_balance,avg_txn_amt,std_txn_amt,z_score,anomaly_type
T000000014,A00000008,2024-01-31,PMT,1629,ATM,0000,PMT WIRE REF708145,2024-01-31,USD,CC,C0000005,SMB,NE,B033,807.31,-821.69,1,-675.7900000000001,421.8508510638298,594.6408694469724,2.03004739660569,OVERDRAFT
T000000015,A00000008,2024-01-31,WDR,2700.45,WIRE,5812,INT ACH REF856473,2024-01-31,USD,CC,C0000005,SMB,NE,B033,807.31,-1893.1399999999999,1,-3376.24,421.8508510638298,594.6408694469724,3.8318912574161135,HIGH_AMOUNT
T000000029,A00000021,2024-01-31,PMT,3054.53,ACH,5912,PMT ACH REF880813,2024-01-31,USD,PERS,C0000013,PREM,SE,B044,2068.19,-986.3400000000001,5,-1010.3400000000001,838.6539473684211,1110.9661192185674,1.9945487214229218,OVERDRAFT
T000000035,A00000025,2024-01-31,DEP,1737.46,POS,5812,DEP ONLINE REF506127,2024-01-31,USD,IRA,C0000015,RET,MW,B014,11042.98,12780.439999999999,3,12745.439999999999,97.51488888888885,145.19266929313147,11.294958065687212,HIGH_AMOUNT
T000000039,A00000027,2024-01-31,WDR,526.63,POS,4900,WDR WIRE REF664483,2024-01-31,USD,CHK,C0000016,RET,W,B035,511.59,-15.04000000000002,2,-242.35000000000002,109.33510638297872,141.16633480420768,2.95605105987765,OVERDRAFT
T000000065,A00000044,2024-01-31,DEP,2178.42,BRANCH,6011,DEP MOBILE REF199798,2024-01-31,USD,IRA,C0000024,RET,W,B019,210152.84,212331.26,6,212348.47,133.45111111111112,148.18312764525575,13.800281593356969,HIGH_AMOUNT
T000000135,A00000093,2024-01-31,WDR,2.01,POS,5411,WDR ATM REF179343,2024-01-31,USD,SAV,C0000051,PB,NE,B038,-247.24,-249.25,3,-249.25,127.87204545454546,272.8030692947736,-0.46136594349877696,OVERDRAFT
T000000136,A00000093,2024-01-31,DEP,161.27,ATM,7011,DEP WIRE REF734819,2024-01-31,USD,SAV,C0000051,PB,NE,B038,-247.24,-85.97,3,-87.97999999999999,127.87204545454546,272.8030692947736,0.12242514217963894,OVERDRAFT
T000000137,A00000095,2024-01-31,WDR,6864.74,MOBILE,6011,FEE POS REF449118,2024-01-31,USD,CC,C0000052,PB,MW,B026,2259.69,-4605.049999999999,1,-4605.049999999999,454.2538461538462,589.3596401617467,10.877036222037242,HIGH_AMOUNT
T000000151,A00000112,2024-01-31,PMT,879.16,POS,7011,PMT WIRE REF165939,2024-01-31,USD,CC,C0000060,PREM,SW,B039,707.96,-171.19999999999993,6,-171.19999999999993,494.0136111111112,554.5174710381876,0.6945613240423315,OVERDRAFT
T000000152,A00000113,2024-01-31,WDR,1579.25,WIRE,4900,WDR BRANCH REF166994,2024-01-31,USD,CHK,C0000061,RET,SW,B009,12229.89,10650.64,1,10650.64,154.34153846153848,351.22229256920866,4.05699891973025,HIGH_AMOUNT
T000000183,A00000133,2024-01-31,TRF,-653.07,ONLINE,5541,TRF ONLINE REF526473,2024-01-31,USD,CHK,C0000071,RET,NW,B047,741.69,88.62,2,-551,135.48119047619045,205.05224492145578,2.5241801655088896,OVERDRAFT
T000000184,A00000133,2024-01-31,DEP,186.28,MOBILE,5411,DEP ACH REF407639,2024-02-01,USD,CHK,C0000071,RET,NW,B047,741.69,927.97,2,-364.72,135.48119047619045,205.05224492145578,0.24773593453350282,OVERDRAFT
T000000191,A00000138,2024-01-31,WDR,649.81,ONLINE,4900,WDR ONLINE REF709577,2024-01-31,USD,CD,C0000073,RET,SE,B032,40862.06,40212.25,5,40212.25,107.8923076923077,160.44615119724156,3.3775674160079765,HIGH_AMOUNT
T000000194,A00000141,2024-01-31,ADJ,191.16,MOBILE,6011,ADJ BRANCH REF299048,2024-01-31,USD,SAV,C0000075,PREM,MW,B037,-500.69,-309.53,4,-309.53,121.28283018867923,142.54918967982408,0.49019689251317394,OVERDRAFT
T000000200,A00000148,2024-01-31,WDR,1676.93,ONLINE,5912,FEE WIRE REF716606,2024-02-01,USD,CHK,C0000078,RET,W,B017,782.37,-894.5600000000001,3,-894.5600000000001,515.4584848484848,1712.221021911528,0.6783420483033467,OVERDRAFT
T000000201,A00000148,2024-01-31,TRF,-6.96,MOBILE,7011,TRF ACH REF342990,2024-01-31,USD,CHK,C0000078,RET,W,B017,782.37,775.41,3,-901.5200000000001,515.4584848484848,1712.221021911528,-0.2969818021979404,OVERDRAFT
T000000202,A00000148,2024-01-31,DEP,35.89,ACH,5812,DEP ONLINE REF452635,2024-01-31,USD,CHK,C0000078,RET,W,B017,782.37,818.26,3,-865.6300000000001,515.4584848484848,1712.221021911528,-0.2800856190359661,OVERDRAFT
T000000206,A00000154,2024-01-31,TRF,-984.85,ACH,0000,TRF ACH REF746379,2024-02-01,USD,CHK,C0000080,PREM,NW,B042,404.37,-580.48,6,-580.48,254.04452380952384,364.76426010475274,2.0035007705541217,OVERDRAFT
T000000207,A00000154,2024-01-31,WDR,229.12,WIRE,4900,WDR POS REF188060,2024-01-31,USD,CHK,C0000080,PREM,NW,B042,404.37,175.25,6,-809.6,254.04452380952384,364.76426010475274,-0.06833049872365793,OVERDRAFT
T000000208,A00000154,2024-01-31,TRF,1.04,BRANCH,6011,TRF BRANCH REF489005,2024-01-31,USD,CHK,C0000080,PREM,NW,B042,404.37,405.41,6,-808.5600000000001,254.04452380952384,364.76426010475274,-0.6936110564583992,OVERDRAFT
T000000213,A00000159,2024-01-31,DEP,29.05,POS,5912,DEP POS REF785144,2024-01-31,USD,SAV,C0000082,RET,MW,B007,-1812.97,-1783.92,1,-1783.92,148.07244897959185,200.89953031646823,-0.5924476219138044,OVERDRAFT
T000000214,A00000159,2024-01-31,TRF,376.31,ATM,6011,TRF MOBILE REF679506,2024-01-31,USD,SAV,C0000082,RET,MW,B007,-1812.97,-1436.66,1,-1407.6100000000001,148.07244897959185,200.89953031646823,1.1360780717649042,OVERDRAFT
T000000215,A00000159,2024-01-31,WDR,83.1,WIRE,0000,WDR ACH REF876782,2024-01-31,USD,SAV,C0000082,RET,MW,B007,-1812.97,-1896.07,1,-1490.71,148.07244897959185,200.89953031646823,-0.32340766987978325,OVERDRAFT
T000000235,A00000182,2024-01-31,WDR,1467.46,BRANCH,6011,WDR ATM REF626144,2024-01-31,USD,MMA,C0000095,RET,W,B030,107085.87,105618.40999999999,1,105618.40999999999,126.97809523809526,159.1980390128964,8.420216185284257,HIGH_AMOUNT
T000000238,A00000183,2024-01-31,WDR,532.91,POS,0000,WDR ATM REF175239,2024-01-31,USD,CHK,C0000096,PREM,SE,B031,668.96,136.05000000000007,3,136.05000000000007,105.26274509803925,119.72285877105394,3.57197664081636,HIGH_AMOUNT
T000000246,A00000188,2024-01-31,WDR,1747106.49,ACH,7011,CHG POS REF999713,2024-01-31,USD,MTG,C0000098,PREM,W,B003,766914.3,-980192.19,3,-980192.19,803.6472500000001,1084.154123890443,1610.7514644536545,HIGH_AMOUNT
T000000268,A00000211,2024-01-31,WDR,1744.35,BRANCH,4900,WDR ACH REF271686,2024-01-31,USD,CHK,C0000110,RET,MW,B018,575.05,-1169.3,2,-1169.3,106.20625000000001,142.89375007777744,11.46406857618583,HIGH_AMOUNT
T000000269,A00000211,2024-01-31,WDR,509.51,ATM,7011,WDR WIRE REF870491,2024-01-31,USD,CHK,C0000110,RET,MW,B018,575.05,65.53999999999996,2,-1678.81,106.20625000000001,142.89375007777744,2.822403007692644,OVERDRAFT
T000000270,A00000211,2024-01-31,WDR,427.38,ATM,0000,WDR ONLINE REF258087,2024-01-31,USD,CHK,C0000110,RET,MW,B018,575.05,147.66999999999996,2,-2106.19,106.20625000000001,142.89375007777744,2.2476402909517335,OVERDRAFT
T000000316,A00000244,2024-01-31,WDR,107919.49,ONLINE,6011,INT ATM REF309655,2024-02-01,USD,LOC,C0000128,RET,NW,B030,37736.53,-70182.96,3,-69349.32,465.88757575757575,569.9677527064049,188.52575766614058,HIGH_AMOUNT
T000000323,A00000249,2024-01-31,WDR,132.66,ONLINE,5411,WDR MOBILE REF433894,2024-01-31,USD,SAV,C0000131,SMB,NW,B044,-668.58,-801.24,3,-801.24,125.48555555555552,139.36966723572542,0.05147780422198934,OVERDRAFT
T000000342,A00000264,2024-01-31,DEP,150.8,ATM,7011,DEP BRANCH REF180598,2024-02-01,USD,SAV,C0000137,PREM,NW,B021,-1550.66,-1399.8600000000001,6,-1399.8600000000001,178.8478431372549,291.87862979199923,-0.09609419900745236,OVERDRAFT
T000000344,A00000266,2024-01-31,PMT,940.83,ACH,5541,PMT BRANCH REF637364,2024-01-31,USD,CC,C0000138,RET,W,B031,145.45,-795.3800000000001,4,-795.3800000000001,441.50914893617016,558.6276817960467,0.8938347800067138,OVERDRAFT
T000000345,A00000266,2024-01-31,PMT,264.32,BRANCH,0000,PMT MOBILE REF953152,2024-01-31,USD,CC,C0000138,RET,W,B031,145.45,-118.87,4,-1059.7,441.50914893617016,558.6276817960467,-0.3171864816410251,OVERDRAFT
T000000346,A00000266,2024-01-31,WDR,801.83,WIRE,5541,INT MOBILE REF352785,2024-01-31,USD,CC,C0000138,RET,W,B031,145.45,-656.3800000000001,4,-1861.5300000000002,441.50914893617016,558.6276817960467,0.6450107339925593,OVERDRAFT
T000000363,A00000282,2024-01-31,REV,951.36,ACH,6011,REV ACH REF821265,2024-01-31,USD,SAV,C0000146,RET,SE,B031,45287.1,46238.46,3,46238.46,103.37344827586209,111.40569008983347,7.611698747526743,HIGH_AMOUNT
T000000368,A00000283,2024-01-31,WDR,890.77,ATM,5812,WDR ONLINE REF330037,2024-01-31,USD,CHK,C0000146,RET,SE,B037,5185.67,4294.9,3,4584.530000000001,154.3221428571429,232.3954566275981,3.168942576717312,HIGH_AMOUNT
T000000387,A00000301,2024-01-31,PMT,1620.86,WIRE,7011,PMT WIRE REF530392,2024-01-31,USD,CC,C0000156,PREM,W,B018,1133.34,-487.52,2,-522.52,439.8528205128206,578.6386092688356,2.041009985454467,OVERDRAFT
