
TRANSACTION_ID  ACCOUNT_ID  TRANSACTION_TYPE  TRANSACTION_AMOUNT  TRANSACTION_DATE
--------------  ----------  ----------------  ------------------  ----------------
T0000000099     A100005     XYZ               100                        11JAN2024
T0000000100     DEP         50.00             11JAN2024                  .
T0000000101     A100006     DEP               99999999.00                11JAN2024
T0000000102     A100007     DEP               200.00                     31DEC2099

account_id  transaction_date  transaction_id  transaction_type  transaction_amount  pre_txn_balance  RUNNING_BALANCE
----------  ----------------  --------------  ----------------  ------------------  ---------------  ---------------
A100001            10JAN2024  T0000000001     DEP               500                       $1,000.00        $1,500.00
A100001            11JAN2024  T0000000002     WDR               120                       $1,000.00        $1,380.00
A100001            12JAN2024  T0000000003     FEE               15                        $1,000.00        $1,365.00
A100002            10JAN2024  T0000000004     DEP               2000                      $5,000.00        $7,000.00
A100002            13JAN2024  T0000000005     WDR               1800                      $5,000.00        $5,200.00
A100002            14JAN2024  T0000000006     INT               6.25                      $5,000.00        $5,206.25
A100003            11JAN2024  T0000000007     PMT               300                         $150.00         -$150.00
A100003            12JAN2024  T0000000008     CHG               40                          $150.00         -$190.00
A100003            14JAN2024  T0000000009     REF               25                          $150.00         -$165.00
A100004            10JAN2024  T0000000010     WDR               900                         $600.00         -$300.00
A100004            13JAN2024  T0000000011     DEP               100                         $600.00         -$200.00

