
report_month  account_type  customer_segment  risk_weight  n_accounts  total_exposure          rwa
------------  ------------  ----------------  -----------  ----------  --------------  -----------
202401        AUTO          COMM                     0.75           1      $12,750.00    $9,562.50
202401        AUTO          RET                      0.75           1      $18,500.00   $13,875.00
202401        CC            RET                      0.75           2      $16,000.00   $12,000.00
202401        CD            PB                          0           1     $120,000.00        $0.00
202401        CHK           RET                         0           1       $1,532.00        $0.00
202401        HELC          CORP                      0.5           1      $98,500.00   $49,250.00
202401        LOC           SMB                         1           1      $33,000.00   $33,000.00
202401        MTG           PB                       0.35           1     $285,000.00   $99,750.00
202401        MTG           RET                      0.35           1     $150,000.00   $52,500.00
202401        MTG           SMB                       0.5           1     $410,000.00  $205,000.00
202401        PERS          PREM                     0.75           1       $9,300.00    $6,975.00
202401        SAV           PREM                        0           1      $45,200.00        $0.00

report_month  account_type  region_code  delinq_bucket  n_accounts  total_balance  total_past_due
------------  ------------  -----------  -------------  ----------  -------------  --------------
202401        AUTO          HQ           120-179                 1     $12,750.00       $3,100.00
202401        AUTO          SE           Current                 1     $18,500.00           $0.00
202401        CC            MW           Current                 1      $4,200.00           $0.00
202401        CC            SW           180+                    1     $11,800.00       $4,800.00
202401        HELC          NW           60-89                   1     $98,500.00       $5,400.00
202401        LOC           MW           1-29                    1     $33,000.00         $900.00
202401        MTG           MW           Current                 1    $150,000.00           $0.00
202401        MTG           NE           Current                 1    $285,000.00           $0.00
202401        MTG           SW           30-59                   1    $410,000.00       $8,200.00
202401        PERS          W            30-59                   1      $9,300.00       $1,200.00

